item_name,description,github,gist,gitlab,bitbucket,launchpad,twitter,youtube,blogpost,cran,pypi,codeberg,website,publication,DOI,author1_name,author2_name,author3_name,author4_name,author5_name,author6_name,category,platform,tag1,tag2,tag3,tag4,tag5,notes,internetarchive
lithic3dslicer,.obj slicing for lithic 3d morphometrics.,https://github.com/kotdijian/lithic3dslicer,,,,,,,,,,,,,,kotdijian,,,,,,Scripts,R,Artefact morphology,,,,,,https://archive.org/details/github.com-kotdijian-lithic3dslicer_-_2019-06-23_01-39-40
Vessel-Measuring-Tool,Digitize archeological drawings of vessels in order to calculate their capacity and weight.,https://github.com/alessandrobattisti/Vessel-Measuring-Tool,,,,,,,,,,,https://alessandrobattisti.github.io/Vessel-Measuring-Tool/#/,,,alessandrobattisti,,,,,,Standalone software,,Artefact morphology,,,,,,https://archive.org/details/github.com-alessandrobattisti-Vessel-Measuring-Tool_-_2020-01-09_10-32-30
BAM,"A tool for the geospatial analysis, literary network visualization, and plot mapping of ancient texts.",https://github.com/Big-Ancient-Mediterranean/BAM,,,,,,,,,,,,,,Big-Ancient-Mediterranean,,,,,,Standalone software,,Literary analysis and epigraphy,,,,,,https://archive.org/details/github.com-Big-Ancient-Mediterranean-BAM_-_2018-09-16_12-29-16
shapAAR,"This is an r package for the extraction, analysis and classification of (not only) archaeological objects derived from scanned images. Especially it aims at the analysis of the shapes/profiles of eg. ceramic vessels or arrow heads.",https://github.com/ISAAKiel/shapAAR,,,,,,,,,,,,,,ISAAKiel,,,,,,Packages and libraries,R,Shape recognition,,,,,,https://archive.org/details/github.com-ISAAKiel-shapAAR_-_2020-07-08_15-22-23
artefact-morpho.R,"R code for converting b&w jpgs of artefact silhouettes to matrices and computing basic elliptical fourier statistics, including pca and manova.",,https://gist.github.com/benmarwick/6260541,,,,,,,,,,,,,benmarwick,,,,,,Scripts,R,Shape recognition,,,,,,https://archive.org/details/gist.github.com-6260541_-_2015-12-21_05-58-59
ceramic-computation,"R scripts for digitizing, processing, analyzing, and comparing archaeological ceramic 2d profile drawings, photographs, and other data.",https://github.com/anatolian/ceramic-computation,,,,,,,,,,,,,,anatolian,,,,,,Scripts,R,Shape recognition,Ceramic analysis,,,,,https://archive.org/details/github.com-anatolian-ceramic-computation_-_2017-10-19_23-59-22
synthkat,Synthetic categories for archaeological vessel comparison.,https://github.com/scollinselliott/synthkat,,,,,,,,,,,,,,scollinselliott,,,,,,Scripts,Python,Shape recognition,,,,,,https://archive.org/details/github.com-scollinselliott-synthkat_-_2017-01-18_06-25-18
murature,"This python library was written as an help for the study of stone walls, mainly through the quantitative analysis of spatial dimensions of stones.",,,,,,,,,,,https://codeberg.org/steko/murature,,,,steko,iosa,,,,,Packages and libraries,Python,Shape recognition,,,,,,https://archive.org/details/codeberg.org-steko-murature_-_2020-06-22_14-12-21
CeraMatch,Visual shape-matching of ceramics profiles.,https://github.com/demjanp/CeraMatch,,,,,,,,,,,,,,demjanp,,,,,,Packages and libraries,Python,Shape recognition,Ceramic analysis,,,,,https://archive.org/details/github.com-demjanp-CeraMatch_-_2021-01-26_21-06-30
CuneiPainter,An app to recognize cuneiform characters on your android phone.,https://github.com/situx/CuneiPainter,,,,,,,,,,,https://situx.github.io/CuneiPainter/,,,situx,,,,,,Packages and libraries,Mobile app,Shape recognition,,,,,,https://archive.org/details/github.com-situx-CuneiPainter_-_2020-10-06_14-40-31
recexcavAAR,R package for 3d reconstruction of archaeological excavations.,https://github.com/ISAAKiel/recexcavAAR/,,,,,,,,https://CRAN.R-project.org/package=recexcavAAR,,,,,,ISAAKiel,,,,,,Packages and libraries,R,3D modelling,,,,,,https://archive.org/details/github.com-ISAAKiel-recexcavAAR_-_2020-07-09_13-15-10
Lithics3D,An r package for processing and analyzing 3d scans of archaeological lithics.,https://github.com/cornelmpop/Lithics3D,,,,,,,,,,,,,,cornelmpop,,,,,,Packages and libraries,R,3D modelling,,,,,,https://archive.org/details/github.com-cornelmpop-Lithics3D_-_2019-05-03_13-16-34
3d-ceramics,3d models of archaeological ceramics.,https://github.com/sfsheath/3d-ceramics,,,,,,,,,,,,,,sfsheath,,,,,,Lists and datasets,,3D modelling,Ceramic analysis,,,,,https://archive.org/details/github.com-sfsheath-3d-ceramics_-_2014-11-19_20-50-10
italy-3d-amphitheaters,3d amphitheatres.,https://github.com/sfsheath/italy-3d-amphitheaters,,,,,,,,,,,,,,sfsheath,,,,,,Lists and datasets,,3D modelling,,,,,,https://archive.org/details/github.com-sfsheath-italy-3d-amphitheaters_-_2018-01-21_04-52-13
cherish,"Cherish is a tool that aids archaeologists and designers to represent historical, urban and archaeological structures and sites in 3d by means of image manipulation and sketching. Combine disparate data types such as photographs, illustrations, diagrams, text annotations, point cloud representation, etc, into a comprehensive 3d space, to make 3d sense of the data.",https://github.com/vicrucann/cherish,,,,,,,,,,,,,,vicrucann,,,,,,Standalone software,,3D modelling,,,,,,
meshlab,"These tools are meant to help you render orthographic views of 3d models for archaeological publication by simplifying, segmenting, cleaning and rendering 3d meshes.",https://github.com/KevinCain/meshlab,,,,,,,,,,,,,,KevinCain,,,,,,Standalone software,Meshlab,3D modelling,,,,,,https://archive.org/details/github.com-KevinCain-meshlab_-_2016-10-29_04-39-53
rti,"Series of common tols used by most reflectance transformation imaging (rti) projects, plus some custom programs to help with the workflow from the camera to the output.",https://github.com/kmartinez/rti,,,,,,,,,,,https://custom-imaging.co.uk/software/,,,kmartinez,,,,,,Scripts,Python,Photogrammetry,,,,,,https://archive.org/details/github.com-kmartinez-rti_-_2019-05-29_15-38-12
RTIBuilder,A software interface to a set of tools that process your captured image set to produce the final rti files. The rtibuilder download includes the hemispherical harmonics (hsh) fitter to create .rti files.,,,,,,,,,,,,http://culturalheritageimaging.org/What_We_Offer/Downloads/Process/index.html,,,culturalheritageimaging,,,,,,Standalone software,,Photogrammetry,,,,,,
RTIViewer,"Enables you to view and explore reflectance transformation imaging (rti) files at very high resolution (polynomial texture maps, hemispherical harmonics map, and multiview rti). You can view image files stored on your local file system, and remote files through http.",,,,,,,,,,,,http://culturalheritageimaging.org/What_We_Offer/Downloads/View/index.html,,,culturalheritageimaging,,,,,,Standalone software,,Photogrammetry,,,,,,
